GNN,STR,NDC
CETIRIZINE HCL/PSEUDOEPHEDRINE,5 MG-120MG,45802072162
TAMSULOSIN HCL,0.4 MG,00228299650
CITALOPRAM HYDROBROMIDE,20 MG,13107000601
SALMETEROL XINAFOATE,50 MCG,00173052100
CARBIDOPA/LEVODOPA,25MG-100MG,00093029301
TIZANIDINE HCL,4 MG,55111018015
LEVOFLOXACIN,250 MG,68180024001
DILTIAZEM HCL,30 MG,00093031801
INDOMETHACIN,50 MG,00378014701
DORZOLAMIDE HCL/TIMOLOL MALEAT,2%-0.5%,24208048610
ALLOPURINOL,300 MG,00603211621
LOSARTAN POTASSIUM,100 MG,00054012522
METHENAMINE HIPPURATE,1 G,64720013910
AMLODIPINE BESYLATE,10 MG,31722023990
ARIPIPRAZOLE,20 MG,59148001013
BUMETANIDE,1 MG,00093423310
METRONIDAZOLE,500 MG,00591397005
VENLAFAXINE HCL,75 MG,00378488401
DEXAMETHASONE,1.5MG (21),44183050921
ACETAZOLAMIDE,500 MG,68382026101
BUSPIRONE HCL,15 MG,00172566570
CEFDINIR,250 MG/5ML,00781607846
GEMFIBROZIL,600 MG,00143913060
METOPROLOL TARTRATE,50 MG,00093073301
NYSTATIN,100000/G,00574200815
CARVEDILOL,12.5 MG,65862014401
LOVASTATIN,10 MG,00185007060
BUPROPION HCL,75 MG,00093028001
ENALAPRIL/HYDROCHLOROTHIAZIDE,10MG-25MG,60505020901
LOSARTAN/HYDROCHLOROTHIAZIDE,100MG-25MG,00093736856
AMLODIPINE BESYLATE/BENAZEPRIL,5MG-20MG,00591375901
ENALAPRIL MALEATE,10 MG,00378105310
BUPROPION HCL,150 MG,00093550201
ENALAPRIL MALEATE,5 MG,64679092402
LISINOPRIL,2.5 MG,68180051202
LITHIUM CARBONATE,450 MG,00143127701
PENTOXIFYLLINE,400 MG,00378035701
OXYBUTYNIN CHLORIDE,10 MG,51079072363
METOPROLOL SUCCINATE,100 MG,64679073603
PRAMIPEXOLE DI-HCL,0.25 MG,68382019716
CARBIDOPA/LEVODOPA,10MG-100MG,00228253850
BICALUTAMIDE,50 MG,16729002301
LEVOFLOXACIN,500 MG,55111028050
AMPHET ASP/AMPHET/D-AMPHET,30 MG,00555078902
CIMETIDINE,300 MG,00093819201
DIVALPROEX SODIUM,125 MG,55111053201
DESONIDE,0.05 %,45802042235
ACETIC ACID,0.25 %,00338065604
TERBINAFINE HCL,250 MG,00093729456
GABAPENTIN,100 MG,00143999201
TOBRAMYCIN SULFATE,0.3 %,00065064435
ALBUTEROL SULFATE,2 MG/5 ML,00603100858
"NEEDLES, INSULIN DISPOSABLE","31GX5/16""",08214030735
KETOCONAZOLE,2 %,51672129803
ALENDRONATE SODIUM,70 MG,60505259604
ETODOLAC,400 MG,00185014001
CYCLOBENZAPRINE HCL,10 MG,00378075105
HYDROCORTISONE,2.5 %,00472033730
BUPROPION HCL,100 MG,67767017160
ISOSORBIDE DINITRATE,5 MG,00781163501
MEGESTROL ACETATE,400MG/10ML,60432012616
FLUOROMETHOLONE,0.25 %,11980022805
FEXOFENADINE HCL,60 MG,00378075305
DIPHENHYDRAMINE HCL,25 MG,00603333932
SODIUM POLYSTYRENE SULFONATE,,46287001216
IMIQUIMOD,5 %,45802007662
"SYRINGE & NEEDLE,INSULIN,1 ML","28GX1/2""",08290328281
DICLOFENAC SODIUM,3 %,10337080301
IBUPROFEN,200 MG,00904791559
DIAZEPAM,5 MG,00591561901
BENAZEPRIL HCL,10 MG,58177034204
QUINAPRIL HCL,40 MG,00093105398
CHLORAL HYDRATE,500 MG/5ML,00121053216
LOSARTAN POTASSIUM,50 MG,68084034701
RISPERIDONE,4 MG,00904597861
AMPHET ASP/AMPHET/D-AMPHET,15 MG,54092038501
GENTAMICIN SULFATE,0.3 %,00168004438
ZOLPIDEM TARTRATE,5 MG,60429053005
NORETH-ETHINYL ESTRADIOL/IRON,0.4-35(21),52544029231
NORETHIND AC/ETHINYL ESTRADIOL,1MG-5MCG,00093312242
ERYTHROMYCIN BASE,5MG/G,17478007035
MIRTAZAPINE,45 MG,13107003205
LISINOPRIL,30 MG,64679095305
FLUVOXAMINE MALEATE,100 MG,00185015701
PRAVASTATIN SODIUM,20 MG,54458098610
BENZONATATE,200 MG,68382024801
CLINDAMYCIN PALMITATE HCL,75 MG/5 ML,59762001601
CICLOPIROX,8 %,00713031788
ACARBOSE,25 MG,00054014025
FLUOXETINE HCL,20 MG,00555087705
AZITHROMYCIN,200 MG/5ML,50111076728
BISOPROLOL FUMARATE,5 MG,59762125801
FAMOTIDINE,40 MG,61442012201
"ESTROGEN,CON/M-PROGEST ACET",0.625-2.5,00046087506
LISINOPRIL,20 MG,00603421234
METHOCARBAMOL,500 MG,31722053301
CHOLESTYRAMINE/ASPARTAME,4 G,00245003623
PRAVASTATIN SODIUM,80 MG,55111027490
TOPIRAMATE,50 MG,31722027910
PAROXETINE HCL,20 MG,68382009816
ERYTHROMYCIN BASE,500 MG,00074632113
VENLAFAXINE HCL,75 MG,00378513205
CLOBETASOL PROPIONATE,0.05 %,68462036653
GABAPENTIN,300 MG,00904607961
ENALAPRIL MALEATE,10 MG,00904561061
LORAZEPAM,0.5 MG,00378232105
PHENYTOIN SODIUM EXTENDED,200 MG,62756029988
ALBUTEROL SULFATE,2.5 MG/3ML,00487950101
MARAVIROC,150 MG,49702022318
CIPROFLOXACIN,500 MG/5ML,00085177301
POTASSIUM CHLORIDE,10 MEQ,62037071010
ESTROPIPATE,1.5 MG,00555072802
DOXYCYCLINE HYCLATE,100 MG,00603348119
MAG HYDROX/AL HYDROX/SIMETH,200-200-20,57896062912
LORATADINE,10 MG,00781507764
GABAPENTIN,100 MG,60505011201
"SYRING W-NDL,DISP,INSUL,0.5ML","29GX1/2""",51709000528
TRAZODONE HCL,100 MG,58016086260
CITALOPRAM HYDROBROMIDE,40 MG,00093474205
TRIAMCINOLONE ACETONIDE,0.1 %,64980032005
SUCRALFATE,1 G,00093221001
TAMOXIFEN CITRATE,20 MG,00591223330
DIVALPROEX SODIUM,500 MG,00603344321
MODAFINIL,200 MG,63459020130
LETROZOLE,2.5 MG,00093762056
ARIPIPRAZOLE,2 MG,59148000613
TRETINOIN,0.1 %,43478024145
SUCRALFATE,1 G,00093221005
PENTOXIFYLLINE,400 MG,00093511601
CIPROFLOXACIN HCL,0.3 %,50383028205
ESOMEPRAZOLE MAGNESIUM,40 MG,00186504054
LISINOPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,00143126310
PROMETHAZINE HCL,12.5 MG,00603543721
ADALIMUMAB,40MG/0.8ML,00074433902
CALCIUM ACETATE,667 MG,00054008826
LITHIUM CARBONATE,300 MG,00054252731
GABAPENTIN,400 MG,31722022301
TRAMADOL HCL,50 MG,57664037718
FAMOTIDINE,40 MG,68645014154
DICYCLOMINE HCL,10 MG,00603326532
ISOSORBIDE DINITRATE,10 MG,00143177110
VANCOMYCIN HCL,1 G,00409653501
URSODIOL,250 MG,00093536001
LORATADINE,10 MG,24385047165
HYDROCODONE BIT/ACETAMINOPHEN,7.5-500MG,53746011201
FENTANYL,75MCG/HR,00781711355
TROPICAMIDE,1 %,61314035502
CLINDAMYCIN HCL,300 MG,63304069301
GABAPENTIN,400 MG,53746010301
LOSARTAN POTASSIUM,50 MG,16714058203
ROPINIROLE HCL,0.5 MG,68462025401
CAPTOPRIL/HYDROCHLOROTHIAZIDE,25 MG-25MG,00378008301
AMLODIPINE BESYLATE,5 MG,00603210928
DOCUSATE SODIUM,100 MG,00904788980
BUPROPION HCL,300 MG,67767014290
GABAPENTIN,100 MG,00071080324
CYPROHEPTADINE HCL,4 MG,60258085010
ATORVASTATIN CALCIUM,40 MG,00591377619
NADOLOL,40 MG,00781118210
LEVETIRACETAM,500 MG,64376013790
BISOPROLOL FUMARATE/HCTZ,2.5-6.25MG,29300018701
GABAPENTIN,800 MG,00378542501
IBUPROFEN,100 MG/5ML,00472127016
ISOSORBIDE DINITRATE,20 MG,00603411821
ALBUTEROL SULFATE,2 MG/5 ML,00093066116
LOVASTATIN,20 MG,00093057606
ALLOPURINOL,300 MG,67877012305
TIZANIDINE HCL,4 MG,57664050318
AMIKACIN SULFATE,500 MG/2ML,00409195601
SUMATRIPTAN SUCCINATE,100 MG,16252059299
BENZTROPINE MESYLATE,2 MG,00832108210
OMEPRAZOLE,10 MG,55111015730
DEXAMETHASONE,4 MG,00054418425
MILNACIPRAN HCL,50 MG,00456155060
GLIPIZIDE,5 MG,00591046001
FLUTICASONE PROPIONATE,100 MCG,00173060202
LOSARTAN/HYDROCHLOROTHIAZIDE,50-12.5 MG,13668011630
METHOCARBAMOL,500 MG,00603448528
PILOCARPINE HCL,5 MG,00054005625
GABAPENTIN,800 MG,00093444401
COLCHICINE/PROBENECID,0.5-500MG,64980014901
DICLOFENAC SODIUM/MISOPROSTOL,75 MG-200,00025142160
NAFTIFINE HCL,1 %,00259477040
DONEPEZIL HCL,5 MG,45963056030
MYCOPHENOLATE MOFETIL,250 MG,00054016325
CELECOXIB,200 MG,00025152534
CLOMIPRAMINE HCL,75 MG,00378307501
TAPENTADOL HCL,50 MG,50458082004
SIMVASTATIN,40 MG,51079045620
AMPHET ASP/AMPHET/D-AMPHET,12.5 MG,00555077602
LISINOPRIL,10 MG,00781166692
RISPERIDONE,0.5 MG,00093022506
PREDNISONE,10 MG,53489013910
FLAVOXATE HCL,100 MG,00574011501
CODEINE SULF,60 MG,00054024525
MEROPENEM,1 G,00310032165
DIGOXIN,250 MCG,00115982201
OXYBUTYNIN CHLORIDE,10 MG,62175027137
PREDNISOLONE ACETATE,1 %,11980018005
CEFUROXIME AXETIL,250 MG,68180030260
FELODIPINE,5 MG,63304043601
ZALEPLON,10 MG,16714056102
GLYBURIDE,2.5 MG,59762702109
METHYLPREDNISOLONE,4 MG,59746000106
GLIPIZIDE,2.5 MG,00228289803
SALSALATE,750 MG,65162051310
LEVOTHYROXINE SODIUM,150 MCG,00781518710
WARFARIN SODIUM,7.5 MG,00056017375
"SYRING W-NDL,DISP,INSUL,0.3ML","31GX5/16""",08396800900
ALLOPURINOL,100 MG,63304053901
TAMOXIFEN CITRATE,20 MG,00591223319
OXYCODONE HCL/ACETAMINOPHEN,5MG-325MG,00603499828
METHOCARBAMOL,500 MG,00143129005
HALOPERIDOL DECANOATE,100 MG/ML,10147092205
LENALIDOMIDE,10 MG,59572041000
DIAZEPAM,2 MG,00378027105
ALBUTEROL SULFATE,4 MG,68774040001
MIRTAZAPINE,30 MG,57664050083
BUTALB/ACETAMINOPHEN/CAFFEINE,50-325-40,00603254421
DIGOXIN,125 MCG,51079084720
GALANTAMINE HBR,16 MG,00555102101
"ESTROGENS,CONJUGATED",1.25 MG,00046110491
TOPIRAMATE,100 MG,31722028005
LEVOFLOXACIN,500 MG,13668008350
LAMOTRIGINE,25 MG,55111022005
CEFEPIME HCL,2 G,63323034020
CEFTRIAXONE SODIUM,1 G,64679098301
ANASTROZOLE,1 MG,62756025083
ACARBOSE,50 MG,00054014125
MIDODRINE HCL,2.5 MG,00185004001
CARBIDOPA/LEVODOPA,25MG-100MG,68084009301
IBUPROFEN,400 MG,55111068201
METOPROLOL SUCCINATE,25 MG,00185028110
DESIPRAMINE HCL,25 MG,45963034202
PIOGLITAZONE HCL/METFORMIN HCL,15-1000 MG,64764051030
MORPHINE SULFATE,60 MG,60793060601
OXCARBAZEPINE,300 MG/5ML,00078035752
POTASSIUM CHLORIDE,15 MEQ,00245015011
MORPHINE SULFATE,100 MG/5ML,00527142562
MEGESTROL ACETATE,40 MG,00555060704
LAMOTRIGINE,100 MG,13668004705
EZETIMIBE/SIMVASTATIN,10MG-40MG,66582031352
IBUPROFEN,100 MG/5ML,45802095243
RISPERIDONE,2 MG,51079046320
PROMETHAZINE HCL,50 MG,00603543921
BROMOCRIPTINE MESYLATE,2.5 MG,00574010601
LEVOTHYROXINE SODIUM,50 MCG,00074455211
METFORMIN HCL,500 MG,57664039713
POLYMYXIN B SULFATE/TMP,10K/ML-0.1,17478070311
CEPHALEXIN,500 MG,65862001940
FERROUS SULFATE,325(65) MG,00904759082
NADOLOL,20 MG,00781118192
CALCIUM CARBONATE/VITAMIN D3,500 MG-200,00536781710
ENALAPRIL MALEATE,10 MG,63304083601
ESTROPIPATE,1.5 MG,00378455301
METFORMIN HCL,500 MG,53489046710
METFORMIN HCL,1000 MG,00781505261
AMITRIPTYLINE HCL,75 MG,00781148901
LABETALOL HCL,300 MG,00185011805
AMITRIPTYLINE HCL,150 MG,00378269501
DESIPRAMINE HCL,25 MG,52152034202
EXEMESTANE,25 MG,00009766304
CITALOPRAM HYDROBROMIDE,10 MG,55111034230
DONEPEZIL HCL,10 MG,59746033030
ESTRADIOL,.075MG/24H,00078034545
PROCHLORPERAZINE MALEATE,5 MG,00093964301
LAMOTRIGINE,150 MG,55111022205
AMLODIPINE BESYLATE,10 MG,65862010305
CYCLOBENZAPRINE HCL,15 MG,63459070060
BROMFENAC SODIUM,0.09%,67425000412
AMLEXANOX,5 %,67404010005
GLYCOPYRROLATE,1 MG,64980013101
ALPRAZOLAM,1 MG,00781107901
NAPROXEN,250 MG,00378037705
MORPHINE SULFATE,100 MG/5ML,00054040450
GENTAMICIN/PREDNISOL AC,0.3-0.6%,00023006604
SODIUM POLYSTYRENE SULFONATE,30G/120ML,46287000604
NYSTATIN/TRIAMCIN,100000-0.1,00168008115
LEVETIRACETAM,250 MG,50474059440
MOEXIPRIL HCL,15 MG,00091371501
FLUOXETINE HCL,20 MG/5 ML,60432016204
PEDI M.VIT NO.17 WITH FLUORIDE,1 MG,64376081501
LORAZEPAM,2 MG/ML,00574016330
LOVASTATIN,10 MG,51079097420
AMANTADINE HCL,100 MG,62584061201
METRONIDAZOLE/SODIUM CHLORIDE,500MG/0.1L,00338105548
CLOZAPINE,25 MG,51079092120
GABAPENTIN,300 MG,00904563261
LEVOTHYROXINE SODIUM,175MCG,00527137801
TIZANIDINE HCL,2 MG,10144060215
PHENYTOIN SODIUM EXTENDED,200 MG,62756029983
OLANZAPINE,7.5 MG,00002411604
FAMOTIDINE,40 MG,62037095601
GLYBURIDE,5 MG,00904613960
AMINOCAPROIC ACID,500 MG,66479002182
NAPROXEN SODIUM,550 MG,55111010801
NITROFURANTOIN MONOHYD/M-CRYST,100 MG,68084044601
HYDROCODONE BIT/ACETAMINOPHEN,10MG-325MG,00603388704
CHLORDIAZEPOXIDE HCL,25 MG,00555015902
TIZANIDINE HCL,4 MG,64720013811
BUPROPION HCL,200 MG,00173072200
SENNOSIDES,8.8MG/5ML,00904620609
METFORMIN HCL,500 MG,00093104893
IBUPROFEN,400 MG,00603402121
LAMOTRIGINE,25-50-100,00173077800
METOCLOPRAMIDE HCL,5 MG,53489038401
CLOZAPINE,50 MG,00378097201
VALSARTAN/HYDROCHLOROTHIAZIDE,320-12.5MG,00078047115
LOSARTAN POTASSIUM,25 MG,16714058103
FINASTERIDE,5 MG,00093735501
LORATADINE,10 MG,51660052601
RISPERIDONE,2 MG,00904597661
ALLOPURINOL,300 MG,55111073005
FOSINOPRIL SODIUM,20 MG,31722020190
PERPHENAZINE/AMITRIPTYLINE HCL,4MG-50MG,00378007301
TAMOXIFEN CITRATE,10 MG,00591223218
PENCICLOVIR,1 %,50816062405
PROMETHAZINE HCL,25 MG,00378702901
CLINDAMYCIN HCL,150 MG,68084024301
ZONISAMIDE,100 MG,62856068010
CLONAZEPAM,0.5 MG,00093083210
TOPIRAMATE,100 MG,00378610391
TRANDOLAPRIL,2 MG,00093732601
METOCLOPRAMIDE HCL,5 MG,50111051702
FLUPHENAZINE HCL,2.5 MG,00378600901
FAMOTIDINE,20 MG,00378302001
DEMECLOCYCLINE HCL,300 MG,65162055548
AMPHET ASP/AMPHET/D-AMPHET,15 MG,54868538700
IMIPRAMINE HCL,10 MG,00781176201
AMLODIPINE BESYLATE/BENAZEPRIL,10MG-20MG,55111034105
TERBUTALINE SULFATE,5 MG,00115262201
BENAZEPRIL HCL,10 MG,60505026601
METIPRANOLOL,0.3 %,24208040205
AMOXICILLIN,250 MG,00143993805
"SYRING W-NDL,DISP,INSUL,0.5ML","28GX1/2""",08290328465
MINOCYCLINE HCL,100 MG,00115701813
METHYLPREDNISOLONE,2 MG,00009004902
AMLODIPINE BESYLATE,2.5 MG,51079045020
CHLORTHALIDONE,25 MG,50111036201
CLONIDINE HCL,0.1 MG,54738090701
TORSEMIDE,100 MG,49884010901
HYDROCORTISONE,2.5 %,68712001101
DEXAMETHASONE,4 MG,00054817525
ALPRAZOLAM,2 MG,67253090310
CLARITHROMYCIN,500 MG,63304072660
CARVEDILOL,25 MG,65862014505
CETIRIZINE HCL,10 MG,16714027103
OXCARBAZEPINE,150 MG,62756018318
HYDROXYZINE HCL,50 MG,23155010705
LISINOPRIL,5 MG,51079098156
ENALAPRIL MALEATE,20 MG,51079095320
LORATADINE,10 MG,37205034672
CEFUROXIME AXETIL,250 MG,68084021801
TRETINOIN,0.01 %,45802036235
HYDROCHLOROTHIAZIDE,12.5 MG,00093208010
PRAVASTATIN SODIUM,40 MG,60505017007
OXYCODONE HCL,15 MG,59011081510
CLOZAPINE,25 MG,68322000102
RAMIPRIL,2.5 MG,00781212701
HYDROCODONE/IBUPROFEN,7.5-200 MG,00074227714
CALCIUM CARBONATE,200(500)MG,49348017021
RIFAMPIN,150 MG,00527139330
ROPINIROLE HCL,0.25 MG,00007489020
FLUOXETINE HCL,10 MG,00378421001
MTH/ME BLUE/SOD PHOS/PHEN/HYOS,118-10-36,00076011101
DIPYRIDAMOLE,75 MG,00904108861
RIBAVIRIN,400-400 MG,49884033876
METHOTREXATE SODIUM,15 MG,51285036901
ISOSORBIDE DINITRATE,20 MG,00781169513
CLINDAMYCIN PHOSPHATE,150 MG/ML,63323028202
GUAIFENESIN,400 MG,24385060271
AMLODIPINE BESYLATE/BENAZEPRIL,2.5MG-10MG,49884092905
BUDESONIDE,3 MG,51079002003
LISINOPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,63304053705
POTASSIUM CHLORIDE,20 MEQ,58177020209
RISPERIDONE,0.5 MG,65862012060
DILTIAZEM HCL,120 MG,58177006126
ASPIRIN,325 MG,00536331301
GABAPENTIN,800 MG,63304059305
CEPHALEXIN,750 MG,11042011540
GEMCITABINE HCL,200 MG,00781328275
AMITRIPTYLINE HCL,50 MG,00904020261
WARFARIN SODIUM,4 MG,51672403107
RANITIDINE HCL,300 MG,00904526261
TAMOXIFEN CITRATE,20 MG,00591247319
BENZTROPINE MESYLATE,2 MG,00904105760
CETIRIZINE HCL,1 MG/ML,45802097426
OXYCODONE HCL/ACETAMINOPHEN,7.5-325MG,63481062870
METHYLDOPA,250 MG,00378061110
AMLODIPINE/ATORVASTATIN,5MG-20MG,63304058830
LEVOCETIRIZINE DIHYDROCHLORIDE,2.5 MG/5ML,00024580120
DOXAZOSIN MESYLATE,1 MG,00093812093
AMPICILLIN SODIUM/SULBACTAM NA,3 G,00409299803
DOXAZOSIN MESYLATE,1 MG,00049275066
PHYTONADIONE,100 MCG,54629084121
BETA-CAROTENE(A) W-C & E/MIN,,37205007972
CETIRIZINE HCL/PSEUDOEPHEDRINE,5 MG-120MG,50428444386
AMOXICILLIN/POTASSIUM CLAV,250-62.5/5,43598020452
TRAMADOL HCL/ACETAMINOPHEN,37.5-325MG,50458065010
CEFADROXIL HYDRATE,500 MG/5ML,68180018203
HYDROCODONE BIT/ACETAMINOPHEN,7.5-650 MG,53746011301
METHOTREXATE SODIUM,2.5 MG,00054855025
CARBIDOPA/LEVODOPA,25MG-250MG,51079078320
SPIRONOLACTONE,100 MG,53489032905
CYCLOBENZAPRINE HCL,5 MG,51991046710
MECLOFENAMATE SODIUM,50 MG,00378215001
HYDRALAZINE HCL,50 MG,63739012710
VANCOMYCIN HCL,750 MG,00409653102
FLUOCINOLONE/SHOWER CAP,0.01 %,65162070386
"MINERAL OIL/PETROLATUM,WHITE",15%-85%,00078047397
ACETAMINOPHEN,500 MG,15127073508
SERTRALINE HCL,100 MG,50111093210
RIZATRIPTAN BENZOATE,5 MG,00006380009
OXYCODONE HCL,15 MG,52152021411
DEXTROSE,4 G,49348091409
GABAPENTIN,400 MG,00172438310
DILTIAZEM HCL,300 MG,58177006426
DIAZEPAM,5 MG/ML,00409127332
FAMOTIDINE,40 MG,49884060911
KETOROLAC TROMETHAMINE,30 MG/ML,00409228721
NADOLOL/BENDROFLUMETHIAZIDE,80 MG-5 MG,60793028401
FLUPHENAZINE HCL,2.5 MG/5ML,00121065416
DEXTROSE 10%-WATER,10 %,00338002304
"SYRING W-NDL,DISP,INSUL,0.5ML",28 GAUGE,08881609004
NEO/POLYMYX B SULF/DEXAMETH,3.5-10K-.1,00168022138
,,50924041501
METOPROLOL SUCCINATE,100 MG,00185028310
COLESTIPOL HCL,7.5G,00009037003
DESIPRAMINE HCL,75 MG,45963034402
AMOXICILLIN,250 MG,63304065405
FERROUS SULFATE,325(65) MG,00245010810
MORPHINE SULFATE,30 MG,00574711612
DESMOPRESSIN ACETATE,0.1 MG,00591246401
BENAZEPRIL HCL,5 MG,65162075150
NAFCILLIN SODIUM,2 G,63323032820
NEOMY SULF/POLYMYXIN B SULFATE,40-200K/ML,39822120101
CARBAMAZEPINE,200 MG,57664053388
"FLUCONAZOLE IN NACL,ISO-OSM",200MG/0.1L,55390001201
ALCOHOL ANTISEPTIC PADS,,50428420827
"MULTIVIT,THER IRON,CA,FA & MIN",27MG-0.4MG,51645087513
GALANTAMINE HBR,8 MG,50458038730
BENZOYL PEROXIDE,9%,42192012860
NAPHAZOLINE HCL/PHENIR MAL,0.025-0.3%,00501650505
"SYRING W-NDL,DISP,INSUL,0.5ML","29GX1/2""",81131031165
AMOXICILLIN,500 MG,65862001405
AMPHOTERICIN B LIPID COMPLEX,5 MG/ML,57665010141
MEGESTROL ACETATE,20 MG,51079043420
LISINOPRIL,5 MG,00172375800
CLONAZEPAM,0.5 MG,49884030802
PRENATAL VIT 18/IRON CB/FA/DSS,90-1-50 MG,60258018401
AMPICILLIN SODIUM/SULBACTAM NA,3 G,10019063702
SILVER SULFADIAZINE,1 %,08880950585
FAMOTIDINE,10 MG,49348044212
OXANDROLONE,2.5 MG,00185027101
ISOSORBIDE MONONITRATE,60 MG,62175011946
NEOMY SULF/BACITRAC ZN/POLY,3.5-400-5K,37205027310
CYCLOSPORINE,100 MG,62584082721
PROMETHAZINE HCL,50 MG/ML,60977000202
LANSOPRAZOLE,30 MG,00300304613
BISMUTH SUBSALICYLATE,262 MG,49348051159
MELOXICAM,7.5 MG,00406205005
ACIDOPHILUS/BULGARICUS,1MM CELL,08290236850
"MINERAL OIL/PETROLATUM,WHITE",41.5-56.8%,00363095235
METRONIDAZOLE,250 MG,00591554025
ORLISTAT,60 MG,53100046925
ACETAMINOPHEN,650 MG,45802073032
HALOBETASOL PROP/AMMONIUM LAC,0.05%-12%,10631011301
CALCIUM/MAGNESIUM,500-250MG,74312004082
SAW PALMETTO,160 MG,24385097171
GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,00904005309
AMLODIPINE BES/OLMESARTAN MED,5MG-20MG,65597011010
FLUTAMIDE,125 MG,00555087063
BETA-CAROTENE(A) W-C & E/MIN,,41163026643
HYDROCORTISONE AC/LIDOCAINE,1%-3%(7G),13925016320
CARVEDILOL,3.125 MG,00904587061
CEFADROXIL HYDRATE,500 MG/5ML,16714020301
TAMOXIFEN CITRATE,20 MG,00172565760
NICOTINE,7MG/24HR,37205036374
BLOOD SUGAR DIAGNOSTIC,,08484072500
MINOCYCLINE HCL,65 MG,99207046330
OXAZEPAM,10 MG,62584081201
ACETAMINOPHEN WITH CODEINE,300MG-60MG,00555030404
BUPIVACAINE HCL/PF,5 MG/ML,00186103312
BENZOYL PEROXIDE,4%-5%,42192011003
OXYMETAZOLINE HCL,0.05 %,50428606665
"SYRINGE & NEEDLE,INSULIN,1 ML","31GX5/16""",15127040301
MELATONIN,1 MG,47469000465
PRIMIDONE,250 MG,00904620760
BETAMET DIPROP/PROP GLY,0.05 %,00085096201
SENNOSIDES/DOCUSATE SODIUM,8.6MG-50MG,00603028332
GUAIFENESIN/DEXTROMETHORPHAN,200-10MG/5,00031866819
D-METHORPHAN/PE/ACETAMINOPHEN,10-5-325MG,49348073847
"SYRING W-NDL,DISP,INSUL,0.3ML","30GX5/16""",59707000107
CALCIUM CARBONATE,300MG(750),00135022301
METOPROLOL SUCCINATE,200 MG,00185028401
NIACINAMIDE,500 MG,00904420260
HYDROMORPHONE HCL,2 MG,59011045201
HYDROCODONE BIT/ACETAMINOPHEN,7.5-750MG,63739013103
GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,41163035934
NEOMYCIN/POLYMYXIN B SULF/HC,3.5-10K-1,54868073601
"DIAPER,BRIEF,ADULT,DISPOSABLE",,36000019798
RIFAMPIN,300 MG,61748001811
PHENYLEPHRINE/CHLOR-TAN,5MG-4.5MG,00037071203
IBUPROFEN,200 MG,49614011678
MG TRISILICATE/ALH/NAHCO3/AA,20-80MG,00603018621
"SYRING W-NDL,DISP,INSUL,0.5ML",30 GAUGE,38396042690
POTASSIUM CHLORIDE,40MEQ/15ML,00472100116
"SYRING W-NDL,DISP,INSUL,0.3ML","29GX1/2""",81131031166
ATENOLOL,50 MG,51079068463
ERYTHROMYCIN BASE/ETHANOL,2 %,45802096696
RISPERIDONE,0.25 MG,00378350205
LEVOTHYROXINE SODIUM,150 MCG,60793085801
HYDROXYZINE HCL,10 MG,16714008104
RIZATRIPTAN BENZOATE,5 MG,00006380018
FINASTERIDE,5 MG,16714052210
FUROSEMIDE,80 MG,00591030205
CAPTOPRIL,50 MG,00378301710
ATORVASTATIN CALCIUM,80 MG,00591377705
METFORMIN HCL,500 MG,00781505005
LEFLUNOMIDE,10 MG,00093017356
DICYCLOMINE HCL,20 MG,00143122701
AMOXICILLIN,500 MG,63304065505
POTASSIUM CHLORIDE,20 MEQ,63739044710
ENALAPRIL MALEATE,10 MG,00781544310
CALCIUM CARBONATE/VITAMIN D3,600 MG-400,74312004230
CANDESARTAN CILEXETIL,32 MG,00186003254
HYDROCODONE BIT/ACETAMINOPHEN,7.5-325MG,00406036662
CIPROFLOXACIN HCL,250 MG,51079021820
"SYRINGE & NEEDLE,INSULIN,1 ML","31GX5/16""",38396043112
METHEN MAND/NAPHOS M-B M-H,500-500MG,00486111401
DIGOXIN,125 MCG,00173024256
METOPROLOL TARTRATE,100 MG,00781122810
GABAPENTIN,600 MG,68084012201
METFORMIN HCL,850 MG,65162017410
RISPERIDONE,2 MG,50458032528
"SYRING W-NDL,DISP,INSUL,0.3ML","31GX5/16""",38396042912
ATENOLOL,100 MG,16714003306
SULFACETM NA/PREDNISOL AC,10 %-0.2 %,11980002205
"SYRING W-NDL,DISP,INSUL,0.5ML","28GX1/2""",08290328282
LANSOPRAZOLE,30 MG,00093744965
METFORMIN HCL,500 MG,62037067401
DIPHENHYDRAMINE HCL,25 MG,49348004410
CLOBETASOL PROPIONATE,0.05 %,50383026860
WARFARIN SODIUM,5 MG,62584099401
HYDROXYZINE HCL,50 MG,10702001210
TRANDOLAPRIL/VERAPAMIL HCL,2-180MG,68462029501
BISACODYL,10 MG,00904505812
UREA,40 %,50383066407
BACLOFEN,10 MG,51079066820
FLUCONAZOLE,40 MG/ML,59762503001
SIMVASTATIN,10 MG,51079045420
PREDNICARBATE,0.1 %,66993088015
DOCUSATE SODIUM,100 MG,57896040110
NEOMYCIN SULFATE,500 MG,51991073801
NORGESTIMATE-ETHINYL ESTRADIOL,0.25-0.035,50458019715
FERROUS SULFATE,220(44)/5,50383077816
DIVALPROEX SODIUM,500 MG,68084031701
